81;TCP;Skype protocol;Oficial
81;TCP;Torpark - Onion routing ORport;Não-oficial
82;UDP;Torpark - Control Port;Não-oficial
88;TCP;Kerberos (Protocolo de comunicações individuais seguras e identificadas) - authenticating agent;Oficial
101;TCP;HOSTNAME (Serviços de nomes para máquinas SRI-NIC);
102;TCP;ISO-TSAP protocol (Aplicações de rede do Ambiente de Desenvolvimento ISO (ISODE);
107;TCP;Remote Telnet Service (Serviço remoto Telnet);
109;TCP;POP (Post Office Protocol): Protocolo de Correio Eletrônico, versão 2;
110;TCP;POP3 (Post Office Protocol version 3): Protocolo de Correio Eletrônico, versão 3 - usada para recebimento de e-mail;Oficial
111;TCP,UDP;sun protocol (Protocolo da Chamada de Procedimento Remoto (RPC) para execução de comandos remotos, usado pelo Sistema de Arquivo de Rede (NFS);Oficial
113;TCP;ident - antigo identificador de servidores, ainda usada em servidores IRC para identificar seus usuários;Oficial
115;TCP;SFTP, (Simple File Transfer Protocol) (Protocolo de simples transferência de arquivo);
117;TCP;UUCP-PATH (Serviços da Localidade do Protocolo de Cópia Unix-para-Unix);
118;TCP,UDP;SQL Services;Oficial
119;TCP;NNTP (Network News Transfer Protocol) (Protocolo de transferência de notícias na rede) - usada para recebimento de mensagens de newsgroups;Oficial
123;UDP;NTP (Network Time Protocol) (Protocolo de tempo na rede) - usada para sincronização de horário;Oficial
135;TCP,UDP;EPMAP (End Point Mapper) / Microsoft RPC Locator Service (Microsoft RPC Serviço de localização);Oficial
137;TCP,UDP;NetBIOS NetBIOS Name Service;Oficial
138;TCP,UDP;NetBIOS NetBIOS Datagram Service (Serviço de datagrama NetBios);Oficial
139;TCP,UDP;NetBIOS NetBIOS Session Service (Serviço de sessão NetBios);Oficial
143;TCP,UDP;IMAP4 (Internet Message Access Protocol 4) (Protocolo de Acesso a mensagens na Internet) - usada para recebimento de e-mail;Oficial
152;TCP,UDP;BFTP, Background File Transfer Program (Protocolo de transferência de arquivo em Background(fundo);
153;TCP,UDP;SGMP, Simple Gateway Monitoring Protocol (Protocolo de simples monitoramento do gateway);
156;TCP,UDP;SQL Service (Serviço SQL);Oficial
158;TCP,UDP;DMSP, Distributed Mail Service Protocol (Protocolo de serviço de e-mail distribuído);
161;TCP,UDP;SNMP (Simple Network Management Protocol) (Protocolo simples de gerenciamento de rede);Oficial
162;TCP,UDP;SNMPTRAP;Oficial
170;TCP;Print-srv (Print Server);
179;TCP;BGP (Border Gateway Protocol)(Protocolo de Gateway de Borda);Oficial
194;TCP;IRC (Internet Relay Chat);Oficial
201;TCP,UDP;AppleTalk Routing Maintenance;
209;TCP,UDP;The Quick Mail Transfer Protocol (Protocolo de rápida transferência de mail);
213;TCP,UDP;IPX (Internetwork Packet Exchange) (Troca de pacote na área de trabalho da internet);Oficial
218;TCP,UDP;MPP, Message Posting Protocol (Protocolo de postagem de mensagem);
220;TCP,UDP;IMAP, Interactive Mail Access Protocol, version 3 (Protocolo de acesso interativo ao mail);
259;TCP,UDP;ESRO, Efficient Short Remote Operations (Operações remotas de curta eficiência);
264;TCP,UDP;BGMP, Border Gateway Multicast Protocol;
311;TCP;Apple Server-Admin-Tool, Workgroup-Manager-Tool, (Ferramenta de gerenciamento de workgroup);
318;TCP,UDP;TSP, Time Stamp Protocol;
323;TCP,UDP;IMMP, Internet Message Mapping Protocol (Protocolo de mapeamento de mensagem da internet);
383;TCP,UDP;HP OpenView HTTPs Operations Agent;
366;TCP,UDP;SMTP, Simple Mail Transfer Protocol (Protocolo de simples transferência de mail). ODMR, On-Demand Mail Relay;
369;TCP,UDP;Rpc2portmap;Oficial
371;TCP,UDP;ClearCase albd;Oficial
384;TCP,UDP;A Remote Network Server System (Sistema servidor de rede remota);
387;TCP,UDP;AURP, AppleTalk Update-based Routing Protocol;
389;TCP,UDP;LDAP (Lightweight Directory Access Protocol)(Protocolo de acesso a diretório lightweight);Oficial
401;TCP,UDP;UPS Uninterruptible Power Supply (Suprimento de potência Ininterruptível);Oficial
411;TCP;Direct Connect (Rede de conexão direta, Conexão direta) Hub port;Não-oficial
412;TCP;Direct Connect Client-To-Client port;Não-oficial
427;TCP,UDP;SLP (Service Location Protocol) (Protocolo de serviço de localização);Não-oficial
443;TCP;HTTPS - HTTP Protocol over TLS/SSL (transmissão segura)(Camada de transporte seguro);Oficial
444;TCP,UDP;SNPP, Simple Network Paging Protocol (Protocolo simples de paging de rede);
445;TCP;Microsoft-DS (Active Directory, Windows shares, Sasser (vírus), Agobot, Zobotworm;Oficial
445;UDP;Microsoft-DS SMB (Bloco de mensagem de servidor) file sharing;Oficial
464;TCP,UDP;Kerberos Change/Set password;Oficial
465;TCP;SMTP over SSL - Conflito registrado com protocolo Cisco;Conflito
500;TCP,UDP;ISAKMP, IKE-Internet Key Exchange;Oficial
502;TCP,UDP;Modbus, Protocol;
512;TCP;exec, Remote Process Execution (Processo de execução remota);
512;UDP;comsat, together with biff: notifica usuários acerca de novos e-mail's não lidos;
513;TCP;Login;
513;UDP;Who;
514;TCP;rsh protocol(protocolo de shell remoto) - usado para executar linha de comando não interativa em sistema remoto e visualizar a tela de retorno;
514;UDP;syslog protocol - usado para log do sistema;Oficial
515;TCP;Line Printer Daemon protocol - usada em servidores de impressão LPD;
517;UDP;Talk;
518;UDP;NTalk;
520;TCP;efs;
520;UDP;Routing - RIP (Protocolo de informação do roteador);Oficial
513;UDP;Router;
524;TCP,UDP;NetWare Core Protocol (NCP) (Protocolo de core do NetWare);Oficial
525;UDP;Timed, Timeserver;
530;TCP,UDP;RPC (Procedimento de chamada remota);Oficial
531;TCP,UDP;AOL Instant Messenger, IRC Mensageiro instantâneo AOL;Não-oficial
532;TCP;netnews;
533;UDP;netwall, For Emergency Broadcasts;
540;TCP;UUCP (Unix-to-Unix Copy Protocol);Oficial
542;TCP,UDP;commerce (Commerce Applications);Oficial
543;TCP;klogin, Kerberos login;
544;TCP;kshell, Kerberos Remote shell;
546;TCP,UDP;DHCPv6 client;
547;TCP,UDP;DHCPv6 server;
548;TCP;AFP (Apple Filing Protocol) (Protocolo de arquivamento da Apple);
550;UDP;new-rwho, new-who;
554;TCP,UDP;RTSP (Real Time Streaming Protocol) (Protocolo de streaming em tempo real);Oficial
556;TCP;Remotefs, rfs, rfs_server;
560;UDP;rmonitor, Remote Monitor (Monitor remoto);
561;UDP;monitor;
563;TCP,UDP;NNTP protocol over TLS/SSL (NNTPS);Oficial
587;TCP;email message submission (SMTP) (RFC 2476);Oficial
591;TCP;FileMaker 6.0 Web Sharing (alternativa ao HTTP);Oficial
593;TCP,UDP;HTTP RPC Ep Map;Oficial
604;TCP;TUNNEL;
631;TCP,UDP;IPP, (Internet Printing Protocol) (Protocolo de impressão na internet);
636;TCP,UDP;LDAP sobre SSL;Oficial
639;TCP,UDP;MSDP, Multicast Source Discovery Protocol (Protocolo de descoberta de fonte multicast);
646;TCP;LDP, Label Distribution Protocol (Protocolo de distribuição de rótulo);
647;TCP;DHCP Failover Protocol;
648;TCP;RRP, Registry Registrar Protocol (Protocolo de registro);
652;TCP;DTCP, Dynamic Tunnel Configuration Protocol (Protocolo de configuração dinâmica de túnel);
654;TCP;AODV, Ad hoc On-Demand Distance Vector;
665;TCP;sun-dr, Remote Dynamic Reconfiguration (Reconfiguração remota dinâmica);Não-oficial
666;UDP;Doom, First online first-person shooter;
674;TCP;ACAP, Application Configuration Access Protocol (Protocolo de acesso a configuração da aplicação);
691;TCP;MS Exchange Routing;Oficial
692;TCP;Hyperwave-ISP;
694;UDP;Linux-HA High availability Heartbeat port;Não-oficial
695;TCP;IEEE-MMS-SSL;
698;TCP;OLSR, Optimized Link State Routing;
699;TCP;Access Network;
700;TCP;EPP, Extensible Provisioning Protocol (Protocolo de provisionamento extensível);
701;TCP;LMP, Link Management Protocol (Protoloco de gerenciamento de link);
702;TCP;IRIS over BEEP;
706;TCP;SILC, Secure Internet Live Conferencing (Conferência ao vivo da seguraça da internet);
711;TCP;TDP, Tag Distribution Protocol (Protocolo de distribuição de marcadores);
712;TCP;TBRPF, Topology Broadcast based on Reverse-Path Forwarding;
720;TCP;SMQP, Simple Message Queue Protocol (Protocolo de simples mensagem em fila);
749;TCP, UDP;kerberos-adm, Kerberos administration;
750;UDP;Kerberos version IV;
782;TCP;Conserver serial-console management server;
829;TCP;CMP (Certificate Management Protocol);
860;TCP;iSCSI;
873;TCP;rsync File synchronisation protocol;Oficial
901;TCP;Samba Web Administration Tool (SWAT);Não-oficial
902;VMware Server Console[1];Não-oficial
904;VMware Server Alternate (se a porta 902 estiver em uso - ex: SUSE linux);Não-oficial
911;TCP;Network Console on Acid (NCA) - local tty redirection over OpenSSH;
981;TCP;SofaWare Technologies Remote HTTPS management for firewall devices running embedded Checkpoint Firewall-1 software;Não-oficial
989;TCP,UDP;FTP Protocol (data) over TLS/SSL;Oficial
990;TCP,UDP;FTP Protocol (control) over TLS/SSL;Oficial
991;TCP,UDP;NAS (Netnews Admin System);
992;TCP,UDP;Telnet protocol over TLS/SSL;Oficial
993;TCP;IMAP4 sobre SSL (transmissão segura);Oficial
995;TCP;POP3 sobre SSL (transmissão segura);Oficial
